timestamp,symbol,timeframe,type,entry_price,exit_price,pnl_pct,result,,,,,
2025-05-22 14:32:10,BTCUSDT,5m,ENTRY,65000,66700,2.62,win,,,,,
2025-05-22 16:45:55,BTCUSDT,15m,ENTRY,31000,30300,-2.26,loss,,,,,
2025-05-26 04:49:06,BTCUSDT,5m,ENTRY,109895.3,0,0,failed,,,,,
2025-05-26 04:49:09,SOLUSDT,5m,ENTRY,177.59,0,0,failed,,,,,
2025-05-26 04:49:43,BTCUSDT,5m,ENTRY,109880.3,0,0,failed,,,,,
2025-05-26 04:49:47,SOLUSDT,5m,ENTRY,177.6,0,0,failed,,,,,
2025-05-26 04:50:20,BTCUSDT,5m,ENTRY,109952.9,0,0,failed,,,,,
2025-05-26 04:50:25,SOLUSDT,5m,ENTRY,177.75,0,0,failed,,,,,
2025-05-26 04:50:57,BTCUSDT,5m,ENTRY,109959.9,0,0,failed,,,,,
2025-05-26 04:51:01,SOLUSDT,5m,ENTRY,177.9,0,0,failed,,,,,
2025-05-26 04:55:26,BTCUSDT,5m,ENTRY,109983.3,0,0,open,,,,,
2025-05-26 04:55:32,SOLUSDT,30m,ENTRY,177.83,0,0,failed,,,,,
2025-05-26 05:13:09,SOLUSDT,30m,ENTRY,177.7,0,0,open,,,,,
2025-05-26 06:24:30,ETHUSDT,1h,ENTRY,2410,0,0,error,,,,,
2025-05-26 06:24:34,SOLUSDT,1h,ENTRY,177.53,0,0,error,,,,,
2025-05-26 06:25:38,ETHUSDT,1h,ENTRY,2410,0,0,error,,,,,
2025-05-26 06:27:00,ETHUSDT,1h,ENTRY,2410,0,0,error,,,,,
2025-05-26 06:28:05,ETHUSDT,1h,ENTRY,2410,0,0,error,,,,,
2025-05-26 06:30:11,ETHUSDT,1h,ENTRY,2410,0,0,error,,,,,
2025-05-26 06:30:14,SOLUSDT,1h,ENTRY,177.53,0,0,error,,,,,
2025-05-26 06:31:17,BTCUSDT,1h,ENTRY,109871.4,0,0,failed,,,,,
2025-05-26 06:31:20,ETHUSDT,4h,ENTRY,2489.98,0,0,failed,,,,,
2025-05-26 06:31:27,SOLUSDT,1h,ENTRY,177.42,0,0,failed,,,,,
2025-05-26 06:32:31,BTCUSDT,1h,ENTRY,109863.5,0,0,failed,,,,,
2025-05-26 06:40:50,BTCUSDT,1h,ENTRY,109709.7,0,0,open,,,,,
2025-05-26 06:41:00,ETHUSDT,4h,ENTRY,2486.31,0,0,open,,,,,
2025-05-26 06:41:10,SOLUSDT,1h,ENTRY,177,0,0,open,,,,,
2025-05-26 07:01:34,ETHUSDT,1h,ENTRY,2466.54,0,0,open,,,,,
2025-05-26 08:26:53,SOLUSDT,1h,ENTRY,176.95,0,0,open,,,,,
2025-05-26 09:40:54,BTCUSDT,1h,ENTRY,109720.9,0,0,open,,,,,
2025-05-26 09:41:15,ETHUSDT,1h,ENTRY,2563.16,0,0,open,,,,,
2025-05-26 09:41:36,SOLUSDT,1h,ENTRY,177.63,0,0,open,,,,,
2025-05-26 10:06:35,BTCUSDT,1h,ENTRY,109820,0,0,open,,,,,
2025-05-26 10:06:57,ETHUSDT,1h,ENTRY,2566.23472,0,0,open,,,,,
2025-05-26 10:07:00,SOLUSDT,1h,ENTRY,178.38,0,0,error,,,,,
2025-05-26 10:08:15,BTCUSDT,1h,ENTRY,109818.5,0,0,open,,,,,
2025-05-26 10:08:37,SOLUSDT,1h,ENTRY,177.9,0,0,open,,,,,
2025-05-26 15:34:52,BTCUSDT,4h,ENTRY,109381.8,0,0,open,,,,,
2025-05-26 15:35:15,SOLUSDT,4h,ENTRY,174.75,0,0,open,,,,,
2025-05-26 17:42:12,SOLUSDT,4h,ENTRY,174.92,0,0,open,,,,,
2025-05-26 19:48:49,SOLUSDT,4h,ENTRY,174.71,0,0,error,,,,,
2025-05-26 19:49:58,SOLUSDT,4h,ENTRY,174.71,0,0,error,,,,,
2025-05-26 19:51:05,SOLUSDT,4h,ENTRY,174.71,0,0,error,,,,,
2025-05-26 19:52:12,SOLUSDT,4h,ENTRY,174.71,0,0,error,,,,,
2025-05-26 19:53:19,SOLUSDT,4h,ENTRY,174.71,0,0,error,,,,,
2025-05-26 19:54:26,SOLUSDT,4h,ENTRY,174.71,0,0,error,,,,,
2025-05-26 19:55:54,SOLUSDT,4h,ENTRY,174.11,0,0,open,,,,,
2025-05-26 21:10:11,BTCUSDT,4h,ENTRY,109382.4,0,0,open,,,,,
2025-05-26 22:02:35,SOLUSDT,4h,ENTRY,173.7,0,0,open,,,,,
2025-05-27 00:08:28,SOLUSDT,4h,ENTRY,174.71,0,0,error,,,,,
2025-05-27 00:09:33,SOLUSDT,4h,ENTRY,174.71,0,0,error,,,,,
2025-05-27 00:10:46,SOLUSDT,4h,ENTRY,172.8,0,0,open,,,,,
2025-05-27 02:44:49,BTCUSDT,4h,ENTRY,108766.5,0,0,open,,,,,
2025-05-27 17:24:48,BTCUSDT,1h,ENTRY,109778.1,0,0,open,,,,,
2025-05-27 17:24:53,SOLUSDT,1h,ENTRY,178.07,0,0,error,,,,,
2025-05-29 08:46:05,BTCUSDT,1h,ENTRY,108693.5,0,0,open,,,,,
2025-05-29 08:46:09,SOLUSDT,4h,ENTRY,172.8,0,0,error,,,,,
2025-05-29 08:47:17,SOLUSDT,4h,ENTRY,172.8,0,0,error,,,,,
2025-05-29 08:48:22,SOLUSDT,4h,ENTRY,172.8,0,0,error,,,,,
2025-05-29 08:49:50,SOLUSDT,4h,ENTRY,172.89,0,0,open,,,,,
2025-05-29 10:22:16,BTCUSDT,1h,ENTRY,108258.1,0,0,open,,,,,
2025-05-29 10:48:16,SOLUSDT,4h,ENTRY,172.8,0,0,error,,,,,
2025-05-29 10:49:39,SOLUSDT,4h,ENTRY,170.89,0,0,open,,,,,
2025-05-29 11:06:38,BTCUSDT,1h,ENTRY,107483.1,0,0,open,,,,,
2025-05-29 11:51:25,BTCUSDT,1h,ENTRY,107399.5,0,0,open,,,,,
2025-05-29 12:48:26,SOLUSDT,4h,ENTRY,172.8,0,0,error,,,,,
